OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v;;
2;3574450;7074350;Valtimo;2060;19610216;1961;2;16;3575000;7075000;-5.4;-1.6;-16.2;0;1099;3.72;0;54;;
2;3574450;7074350;Valtimo;2060;19610217;1961;2;17;3575000;7075000;-1;-0.9;-7.3;0;1209;5.14;0;54;;
2;3574450;7074350;Valtimo;2060;19610218;1961;2;18;3575000;7075000;0;4.9;-1.1;0;2215;6.07;0;54;;
2;3574450;7074350;Valtimo;2060;19610219;1961;2;19;3575000;7075000;-5.2;1.6;-11.4;0;2657;3.3;0;54;;
2;3574450;7074350;Valtimo;2060;19610220;1961;2;20;3575000;7075000;-1.3;3.2;-13.4;1;1611;5.07;0;55;;
2;3574450;7074350;Valtimo;2060;19610221;1961;2;21;3575000;7075000;0.4;2.8;-1.6;2;1729;5.5;0;57;;
2;3574450;7074350;Valtimo;2060;19610222;1961;2;22;3575000;7075000;0.8;3.6;-3;0;2789;5.02;0;57;;
2;3574450;7074350;Valtimo;2060;19610223;1961;2;23;3575000;7075000;1.1;4;0;0;3034;5.56;0;57;;
2;3574450;7074350;Valtimo;2060;19610224;1961;2;24;3575000;7075000;0;2.5;-3.6;0;1566;5.77;0;57;;
2;3574450;7074350;Valtimo;2060;19610225;1961;2;25;3575000;7075000;0.1;1.3;-1.9;1;1586;5.69;0;58;;
2;3574450;7074350;Valtimo;2060;19610226;1961;2;26;3575000;7075000;0;0.7;-1.2;3;1882;5.54;0;61;;
2;3574450;7074350;Valtimo;2060;19610227;1961;2;27;3575000;7075000;0.6;1.4;-2.1;2;1786;5.87;0;63;;
2;3574450;7074350;Valtimo;2060;19610228;1961;2;28;3575000;7075000;2;4.2;0.4;0;3262;6.01;0;63;;
2;3574450;7074350;Valtimo;2060;19610301;1961;3;1;3575000;7075000;-0.5;1.9;-2.2;0;2586;5.47;0;63;;
2;3574450;7074350;Valtimo;2060;19610302;1961;3;2;3575000;7075000;0.1;1.6;-1.6;0;1928;5.64;0;63;;
2;3574450;7074350;Valtimo;2060;19610303;1961;3;3;3575000;7075000;-0.1;0.9;-1.2;0;2139;5.23;0;63;;
2;3574450;7074350;Valtimo;2060;19610304;1961;3;4;3575000;7075000;0.8;2;-0.2;2;2383;5.75;0;65;;
2;3574450;7074350;Valtimo;2060;19610305;1961;3;5;3575000;7075000;-0.6;1.6;-3.7;0;4638;5.06;0;65;;
2;3574450;7074350;Valtimo;2060;19610306;1961;3;6;3575000;7075000;2.5;5.3;-1;8;3778;6;0;73;;
2;3574450;7074350;Valtimo;2060;19610307;1961;3;7;3575000;7075000;-2.4;1.9;-4.3;0;3824;4.4;0;73;;
2;3574450;7074350;Valtimo;2060;19610308;1961;3;8;3575000;7075000;-4.5;-2.3;-7.6;0;5396;2.99;0;73;;
2;3574450;7074350;Valtimo;2060;19610309;1961;3;9;3575000;7075000;-0.2;2.9;-4.8;0;3462;5.59;0;73;;
2;3574450;7074350;Valtimo;2060;19610310;1961;3;10;3575000;7075000;1.5;4.7;-1.5;2;4225;5.16;0;75;;
2;3574450;7074350;Valtimo;2060;19610311;1961;3;11;3575000;7075000;0.5;1.9;-1.1;1;2177;5.97;0;76;;
2;3574450;7074350;Valtimo;2060;19610312;1961;3;12;3575000;7075000;-1.2;2.2;-4.2;0;5135;4.25;0;76;;
2;3574450;7074350;Valtimo;2060;19610313;1961;3;13;3575000;7075000;-3.2;1.8;-8.1;0;5971;3.95;0;76;;
2;3574450;7074350;Valtimo;2060;19610314;1961;3;14;3575000;7075000;-1.9;0.2;-4.9;3;5779;4.12;0;79;;
2;3574450;7074350;Valtimo;2060;19610315;1961;3;15;3575000;7075000;-2.9;-1.4;-5.4;3;3122;4.42;0;82;;
2;3574450;7074350;Valtimo;2060;19610316;1961;3;16;3575000;7075000;-4.2;-2.2;-6.4;0;6270;3.42;0;82;;
2;3574450;7074350;Valtimo;2060;19610317;1961;3;17;3575000;7075000;-6.6;-3.3;-12.2;3;3876;2.95;0;85;;
2;3574450;7074350;Valtimo;2060;19610318;1961;3;18;3575000;7075000;-5.5;-1.7;-7.7;1;3255;3.81;0;86;;
2;3574450;7074350;Valtimo;2060;19610319;1961;3;19;3575000;7075000;-8.5;-4.5;-11.7;0;7567;2.33;0;86;;
2;3574450;7074350;Valtimo;2060;19610320;1961;3;20;3575000;7075000;-10.9;-4.6;-18.9;0;7944;2;0;86;;
2;3574450;7074350;Valtimo;2060;19610321;1961;3;21;3575000;7075000;-9.8;-3;-18.2;0;8545;2.14;0;86;;
2;3574450;7074350;Valtimo;2060;19610322;1961;3;22;3575000;7075000;-10.2;-2.8;-20.2;1;9353;2.13;0;87;;
2;3574450;7074350;Valtimo;2060;19610323;1961;3;23;3575000;7075000;-4.4;1.1;-10.3;5;4293;4.1;0;92;;
