datetime,runoff[m/day],nexport[kg/ha],nconc[mg/l],pexport[kg/ha],pconc[mg/l],N,P
2012-12-31,0.12726882845163345,0.5841908308220217,1.4767538282982002,0.030019041304215583,0.075769019149687,,
2013-12-31,0.2679777406156063,1.318301682833713,5.651369867650121,0.06527711716408081,0.27684900178646576,,
2014-12-31,0.3054307121783495,1.889812784635252,7.438247275736129,0.08855049217640307,0.3469030733122859,1.4448109470303243,0.0401696229651498
2015-12-31,0.44836019165813923,2.8258445611053884,7.352133329960714,0.11989219459107245,0.3101120687131451,3.234793,0.075398
2016-12-31,0.33075230475515127,2.1454411715166217,7.533544784349729,0.09238939644359018,0.32485729055535145,1.88938,0.063221
2017-12-31,0.3695032047107816,2.547112550192066,7.981943878191276,0.10617758482220818,0.3312308617353149,,
2018-12-31,0.48300920333713293,3.1836889136740423,7.061462056322147,0.13024405435787392,0.28773655646362817,,
2019-12-31,0.19448186736553907,1.3401470939359754,7.786840455633367,0.056601072513509966,0.32356459053085357,,
2020-12-31,0.2377098840661347,1.3720997171209466,6.355648320654602,0.05315977988705225,0.24016769258029508,,
2021-12-31,0.26616186276078224,1.6393580469662672,7.418323010178025,0.051917115675607174,0.23602491213503393,,
2022-12-31,0.5429390221834183,3.006873591599988,6.121668345477884,0.09987676789594263,0.2058658617000955,,
2023-12-31,0.26215759478509426,1.19142504046025,5.187864584179636,0.043198379229919745,0.18863797398210005,,
2024-12-31,0.2796189347282052,1.6084264308885579,6.4402956451873745,0.0677968257439702,0.2743123769176011,,
