datetime,runoff[m/day],nexport[kg/ha],nconc[mg/l],pexport[kg/ha],pconc[mg/l],N,P
2012-10-31,0.02697453647851944,0.10502592328581188,0.4656020856415559,0.005461735699552282,0.02381568795467155,,
2012-11-30,0.06825459748506546,0.3177948294367138,0.5036567316822897,0.016255301951760285,0.025911619275894873,,
2012-12-31,0.03203969448804855,0.16137007809949608,0.5074950109743547,0.008302003652903015,0.026041711919120577,,
2013-01-31,0.013335038907825947,0.06767465716870576,0.5311998372859466,0.003472672416678676,0.027160695970903776,,
2013-02-28,0.007350678090006113,0.03904679005352619,0.5528612379929726,0.0019964953278263967,0.028151763850377865,,
2013-03-31,0.0055156429298222065,0.030493851785086918,0.5717905673360227,0.0015527507724336107,0.02900821985607214,,
2013-04-30,0.04047161340713501,0.23141286791069915,0.5006048943477088,0.01174009459644129,0.02522875197926926,,
2013-05-31,0.09583666175603867,0.47976301933018844,0.35237840739984677,0.024178393699642194,0.017519839581519175,,
2013-06-30,0.01522054336965084,0.0536339083235786,0.3731844184039361,0.0026666147817983803,0.01839287061014067,,
2013-07-31,0.007261793129146099,0.02709988045470086,0.3921762128998228,0.0013356522142199275,0.0191136071279231,,
2013-08-31,0.005371064879000187,0.021064038834855383,0.4126040320727226,0.001026604239557954,0.019736525540535222,,
2013-09-30,0.004105827771127224,0.016940810933632523,0.427615914554209,0.0008103477466989126,0.02018582642413288,,
2013-10-31,0.004203938879072666,0.017976711685046547,0.4527690901976576,0.0008485998051062459,0.02113226936184085,,
2013-11-30,0.017340058460831642,0.07851042493284938,0.4901093318136088,0.003664347861443617,0.02306277609910841,,
2013-12-31,0.05196487903594971,0.2546847214208432,0.5940759233456676,0.011984543702233607,0.028155855384642412,,
2014-01-31,0.0610777921974659,0.36284845795624365,0.5513527968543628,0.017196974843250903,0.025984299479529026,,
2014-02-28,0.015882331877946854,0.08756768101475201,0.5906268445264711,0.004126912679498417,0.02803261186701836,,
2014-03-31,0.03877463564276695,0.22901340697351077,0.626039464943575,0.010869543112587417,0.030186253227777186,,
2014-04-30,0.03152019530534744,0.19732886203876698,0.6035030816326173,0.009514765972762115,0.028945249896192307,0.3731913590547058,0.0103946315779033
2014-05-31,0.028401469811797142,0.17140374554315327,0.5838505300388122,0.0082208764112163,0.027836894567778048,0.3794853435915705,0.011129448280512
2014-06-30,0.017883537337183952,0.10441312753283738,0.582007083254767,0.0049782214335411185,0.02765239656555584,0.0328753568652832,0.0009868486763294
2014-07-31,0.008622922003269196,0.05018601684256058,0.6033714546954859,0.0023844445878825698,0.028518298946612838,0.0135736853652883,0.0006040232969263
2014-08-31,0.006349959410727024,0.03831384246907655,0.6275952369689025,0.0018109004077397077,0.02927603392355353,0.0196378193292101,0.0009272127204798
2014-09-30,0.00562114454805851,0.03527803544675235,0.6453858099266591,0.0016456481847815893,0.029619624477284282,0.0284595510677436,0.0017495629449241
2014-10-31,0.007137994281947613,0.046067602209066215,0.6718383496465226,0.002114247101522908,0.030703552082356842,0.1506433548489509,0.0040635849111525
2014-11-30,0.05370984971523285,0.36084336792444793,0.6783456020974642,0.016490831680672106,0.030205136434806417,0.3917398186884932,0.0089481925728217
2014-12-31,0.030448880046606064,0.20654863868408455,0.6743310211504877,0.00919712576094791,0.029942721843821164,0.0552046582190778,0.0013661179841004
2015-01-31,0.02441411279141903,0.1646319360912078,0.6662440445773703,0.007310249883771363,0.029515936857289638,0.0200559999999999,0.000486
2015-02-28,0.01714404672384262,0.11422119029716322,0.6812773718536841,0.005060226005793621,0.03031882696530146,0.023835,0.00074
2015-03-31,0.026469489559531212,0.18033064281425953,0.6943001887387201,0.008025238738152803,0.031216734648792932,0.0543289999999999,0.001448
2015-04-30,0.08099159598350525,0.5623248037759786,0.6496856450204981,0.025282931605993268,0.027259596018063173,0.561597,0.012239
2015-05-31,0.055575378239154816,0.3610652545856345,0.5834864520805985,0.015149623593504193,0.02438385045668007,0.684652,0.0176849999999999
2015-06-30,0.02111618034541607,0.12321005151240887,0.5925773934020765,0.005148937837589123,0.02467802572702414,0.132757,0.003255
2015-07-31,0.028483755886554718,0.1687882981755565,0.5614793504895426,0.007029228605706728,0.0231504776261298,0.279406,0.006318
2015-08-31,0.040852922946214676,0.22938072641439944,0.5144310004258439,0.009457646786283474,0.020883664814936267,0.2740700000000001,0.0073049999999999
2015-09-30,0.01632135733962059,0.0839621218452871,0.539416124868636,0.003408497560054363,0.021200889493692084,0.151319,0.004421
2015-10-31,0.01671413891017437,0.09015876041442344,0.5740318516293885,0.003543546120168259,0.022773476570819007,0.1756409999999999,0.0047789999999999
2015-11-30,0.026648351922631264,0.15297002797019602,0.6352750004561858,0.006068756181609828,0.02606814972342678,0.36522,0.0070179999999999
2015-12-31,0.09362886101007462,0.5948007472088731,0.6599289064181691,0.024407311672445413,0.028662439810989676,0.5119110000000001,0.009704
2016-01-31,0.03700869157910347,0.24423105361765057,0.6456881055736056,0.010607593948695334,0.028245686455911335,0.009009,0.000444
2016-02-29,0.024283498525619507,0.156795661597067,0.6610648796794365,0.0068590408540723374,0.029333411320066487,0.02025,0.001134
2016-03-31,0.01869039796292782,0.12355565680523664,0.6827268482734651,0.005482531311822945,0.030341084877722763,0.02208,0.0008979999999999
2016-04-30,0.06901183724403381,0.47116234135180546,0.5398961769541242,0.02093894011388819,0.02392023444748553,0.599949,0.020825
2016-05-31,0.024449456483125687,0.13200168083845787,0.5437392484683247,0.005848367311899615,0.024016716155427553,0.2403889999999999,0.008155
