datetime,runoff[m/day],nexport[kg/ha],nconc[mg/l],pexport[kg/ha],pconc[mg/l],N,P
2012-12-31,0.04242294281721115,0.1947302769406739,0.49225127609940006,0.010006347101405194,0.025256339716562336,,
2013-12-31,0.022331478384633858,0.10985847356947609,0.47094748897084343,0.005439759763673401,0.023070750148872148,,
2014-12-31,0.02545255934819579,0.15748439871960432,0.6198539396446774,0.0073792076813669226,0.028908589442690494,0.5363636363636364,0.0236363636363636
2015-12-31,0.03736334930484494,0.23548704675878238,0.6126777774967261,0.009991016215922703,0.025842672392762094,0.5728571428571426,0.0144761904761904
2016-12-31,0.027562692062929273,0.17878676429305182,0.6277953986958108,0.007699116370299182,0.02707144087961262,0.5752173913043479,0.0213478260869565
2017-12-31,0.030791933725898463,0.21225937918267215,0.665161989849273,0.008848132068517348,0.027602571811276243,0.55,0.016
2018-12-31,0.040250766944761075,0.2653074094728369,0.5884551713601789,0.010853671196489494,0.023978046371969014,,
2019-12-31,0.01620682228046159,0.11167892449466461,0.6489033713027806,0.004716756042792497,0.02696371587757113,,
2020-12-31,0.019809157005511224,0.11434164309341222,0.5296373600545502,0.004429981657254354,0.020013974381691255,,
2021-12-31,0.022180155230065186,0.13661317058052228,0.618193584181502,0.004326426306300598,0.019668742677919494,,
2022-12-31,0.04524491851528486,0.250572799299999,0.5101390287898236,0.008323063991328553,0.017155488475007957,,
2023-12-31,0.02184646623209119,0.09928542003835417,0.4323220486816363,0.0035998649358266453,0.015719831165175006,,
2024-12-31,0.025419903157109566,0.14622058462623252,0.5854814222897613,0.006163347794906382,0.024937488810691008,,
